tensor(0.3030042052, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2962691784, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3050418794, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3012722731, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2983612418, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3021835089, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2958586812, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3035036623, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3000229597, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3019906878, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2976498902, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3016656935, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3031984270, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3023583293, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2992037237, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3016268313, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3005920649, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2933044732, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2975092232, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3003045619, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3023645282, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3000744581, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3005548418, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2992853224, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3014011681, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2968436778, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2967698574, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3032415509, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2987453341, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3031668365, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3087523282, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2982888222, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3015204966, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3043023944, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.3028439879, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2962816656, device='cuda:1', grad_fn=<DivBackward0>)
tensor(0.2968398333, device='cuda:1', grad_fn=<DivBackward0>)
